sex,qimd,ethnicity,sha,smoking_status,age,total_patient_years,ageband
men,1 most deprived,bangladeshi,East Midlands,ex_smoker,25,1,25—29
men,1 most deprived,bangladeshi,East Midlands,never_smoker,25,1,25—29
men,1 most deprived,bangladeshi,East of England,never_smoker,25,1,25—29
men,1 most deprived,bangladeshi,London,ex_smoker,25,1.7205479134956874,25—29
men,1 most deprived,bangladeshi,London,never_smoker,25,5.797260178843227,25—29
men,1 most deprived,bangladeshi,London,smoker,25,2,25—29
men,1 most deprived,bangladeshi,North West,never_smoker,25,1,25—29
men,1 most deprived,bangladeshi,North West,smoker,25,0.32054791349568745,25—29
men,1 most deprived,bangladeshi,West Midlands,never_smoker,25,0.03013695459157788,25—29
men,1 most deprived,bangladeshi,West Midlands,smoker,25,1,25—29
men,1 most deprived,black african,East Midlands,ex_smoker,25,1,25—29
men,1 most deprived,black african,East Midlands,smoker,25,0.38904106418061896,25—29
men,1 most deprived,black african,East of England,never_smoker,25,1,25—29
men,1 most deprived,black african,East of England,smoker,25,1,25—29
men,1 most deprived,black african,London,ex_smoker,25,1.1506848680872652,25—29
men,1 most deprived,black african,London,never_smoker,25,10.28219165398275,25—29
men,1 most deprived,black african,London,smoker,25,6.199999968290208,25—29
men,1 most deprived,black african,North West,ex_smoker,25,0.5698629819888381,25—29
men,1 most deprived,black african,North West,never_smoker,25,1.2794520230847286,25—29
men,1 most deprived,black african,North West,smoker,25,1,25—29
men,1 most deprived,black african,South Central,never_smoker,25,0.28767120116692035,25—29
men,1 most deprived,black african,South West,never_smoker,25,1,25—29
men,1 most deprived,black african,West Midlands,ex_smoker,25,1.8219177765093861,25—29
men,1 most deprived,black african,West Midlands,never_smoker,25,1,25—29
men,1 most deprived,black african,Yorkshire and the Humber,ex_smoker,25,0.9424657217148655,25—29
men,1 most deprived,black african,Yorkshire and the Humber,never_smoker,25,0.926027365550482,25—29
men,1 most deprived,black caribbean,East Midlands,never_smoker,25,1,25—29
men,1 most deprived,black caribbean,East of England,smoker,25,1,25—29
men,1 most deprived,black caribbean,London,ex_smoker,25,0.5671232559614409,25—29
men,1 most deprived,black caribbean,London,never_smoker,25,2.358904046169457,25—29
men,1 most deprived,black caribbean,London,smoker,25,2,25—29
men,1 most deprived,black caribbean,South West,smoker,25,1,25—29
men,1 most deprived,black caribbean,West Midlands,never_smoker,25,1.5698629819888381,25—29
men,1 most deprived,black caribbean,Yorkshire and the Humber,never_smoker,25,0.6493150050735668,25—29
men,1 most deprived,chinese,East of England,smoker,25,1,25—29
men,1 most deprived,chinese,London,ex_smoker,25,1,25—29
men,1 most deprived,chinese,London,never_smoker,25,1.2986301052765095,25—29
men,1 most deprived,chinese,North West,smoker,25,1,25—29
men,1 most deprived,chinese,West Midlands,smoker,25,0.5424657217148655,25—29
men,1 most deprived,indian,East Midlands,never_smoker,25,1.410958840690005,25—29
men,1 most deprived,indian,East Midlands,smoker,25,2.2328766489091834,25—29
men,1 most deprived,indian,East of England,ex_smoker,25,0.2712328450025368,25—29
men,1 most deprived,indian,London,ex_smoker,25,1.684931475139523,25—29
men,1 most deprived,indian,London,never_smoker,25,3.210958872399797,25—29
men,1 most deprived,indian,London,smoker,25,3.5972602422628106,25—29
men,1 most deprived,indian,North West,never_smoker,25,0.9808218860984272,25—29
men,1 most deprived,indian,North West,smoker,25,1,25—29
men,1 most deprived,indian,South West,ex_smoker,25,0.3808218860984272,25—29
men,1 most deprived,indian,South West,never_smoker,25,1,25—29
men,1 most deprived,indian,West Midlands,ex_smoker,25,1.043835584728564,25—29
men,1 most deprived,indian,West Midlands,never_smoker,25,2.3726026763064434,25—29
men,1 most deprived,indian,West Midlands,smoker,25,1,25—29
men,1 most deprived,indian,Yorkshire and the Humber,ex_smoker,25,0.8356164066463724,25—29
men,1 most deprived,other,East Midlands,smoker,25,0.07397257102993404,25—29
men,1 most deprived,other,London,ex_smoker,25,5,25—29
men,1 most deprived,other,London,never_smoker,25,14.630136732623034,25—29
men,1 most deprived,other,London,smoker,25,2.7424656582952815,25—29
men,1 most deprived,other,North West,never_smoker,25,1.8493150050735667,25—29
men,1 most deprived,other,North West,smoker,25,1.2082191463723997,25—29
men,1 most deprived,other,South Central,ex_smoker,25,1,25—29
men,1 most deprived,other,South Central,smoker,25,1,25—29
men,1 most deprived,other,South East Coast,ex_smoker,25,0.852054762810756,25—29
men,1 most deprived,other,South West,smoker,25,0.8575342148655505,25—29
men,1 most deprived,other,West Midlands,ex_smoker,25,1,25—29
men,1 most deprived,other,West Midlands,never_smoker,25,4.246575247336377,25—29
men,1 most deprived,other,West Midlands,smoker,25,1.5068492516489091,25—29
men,1 most deprived,other,Yorkshire and the Humber,never_smoker,25,3,25—29
men,1 most deprived,other,Yorkshire and the Humber,smoker,25,0.16438352993404362,25—29
men,1 most deprived,other asian,East of England,ex_smoker,25,1,25—29
men,1 most deprived,other asian,London,ex_smoker,25,1.2164383244545915,25—29
men,1 most deprived,other asian,London,never_smoker,25,3,25—29
men,1 most deprived,other asian,London,smoker,25,1,25—29
men,1 most deprived,other asian,North West,never_smoker,25,0.47945202308472856,25—29
men,1 most deprived,other asian,South Central,never_smoker,25,1,25—29
men,1 most deprived,other asian,West Midlands,smoker,25,0.7041095573313039,25—29
